,구,삶의만족도,지역만족도,병원 수,상권 수,문화시설 수,학교 수,버스정거장,지하철역,총인구수 (명)
0,종로구,6.6126,6.7244,458,16,284,14,353,15,141861
1,중구,6.7132,6.6386,551,56,79,11,207,23,120648
2,용산구,6.2892,6.4585,318,23,79,10,353,10,219102
3,성동구,6.7216,6.7262,465,18,17,9,410,14,281694
4,광진구,6.3799,6.4772,556,25,23,9,288,11,337900
5,동대문구,6.5255,6.4242,583,26,28,11,316,6,337273
6,중랑구,6.4817,6.412,537,13,9,10,378,8,385976
7,성북구,6.3384,6.3445,522,31,30,13,568,9,431581
8,강북구,7.0738,7.0725,455,21,22,7,415,3,294429
9,도봉구,6.2162,6.3037,361,15,20,10,382,3,312427
10,노원구,6.4486,6.5525,736,19,23,25,522,13,505058
11,은평구,6.3765,6.4185,681,18,24,18,403,13,468988
12,서대문구,6.64,6.7025,424,17,19,7,396,5,305113
13,마포구,6.6349,6.7415,744,27,47,9,548,16,364698
14,양천구,6.2545,6.2119,637,20,22,15,356,5,441749
15,강서구,6.2711,6.2859,882,22,15,23,604,9,570011
16,구로구,6.4994,6.5,562,26,28,14,473,7,394212
17,금천구,6.2938,6.1954,348,20,21,6,339,1,230156
18,영등포구,6.3735,6.4896,757,28,21,9,472,11,375849
19,동작구,6.4562,6.4825,587,14,20,7,436,12,382747
20,관악구,6.4552,6.38,692,18,17,17,429,4,487201
21,서초구,6.6313,6.9129,1295,25,42,11,614,12,404902
22,강남구,6.6358,6.9207,2700,45,100,22,540,21,529946
23,송파구,6.6759,6.9225,1214,39,38,19,404,28,659788
24,강동구,6.3735,6.4254,845,22,20,14,363,14,460413
