구,삶의만족도,지역만족도,병원 수,상권 수,문화시설 수,버스정거장,지하철역,총인구수 (명),아파트 수, 파출소 수,체육시설 수,범죄건수
종로구,6.6126,6.7244,458,16,284,353,15,141861,503,20,26,1582
중구,6.7132,6.6386,551,56,79,207,23,120648,669,15,21,1642
용산구,6.2892,6.4585,318,23,79,353,10,219102,969,7,24,1359
성동구,6.7216,6.7262,465,18,17,410,14,281694,1614,9,38,1224
광진구,6.3799,6.4772,556,25,23,288,11,337900,808,10,34,1635
동대문구,6.5255,6.4242,583,26,28,316,6,337273,1838,11,23,1669
중랑구,6.4817,6.412,537,13,9,378,8,385976,1713,8,22,1830
성북구,6.3384,6.3445,522,31,30,568,9,431581,2533,10,22,1714
강북구,7.0738,7.0725,455,21,22,415,3,294429,999,9,13,1701
도봉구,6.2162,6.3037,361,15,20,382,3,312427,2064,8,18,1050
노원구,6.4486,6.5525,736,19,23,522,13,505058,4313,8,28,1977
은평구,6.3765,6.4185,681,18,24,403,13,468988,1859,9,19,1967
서대문구,6.64,6.7025,424,17,19,396,5,305113,1540,8,20,1211
마포구,6.6349,6.7415,744,27,47,548,16,364698,1696,8,34,1845
양천구,6.2545,6.2119,637,20,22,356,5,441749,1989,8,36,1732
강서구,6.2711,6.2859,882,22,15,604,9,570011,3008,10,33,2504
구로구,6.4994,6.5,562,26,28,473,7,394212,2757,8,31,2094
금천구,6.2938,6.1954,348,20,21,339,1,230156,1037,5,25,1411
영등포구,6.3735,6.4896,757,28,21,472,11,375849,2019,10,31,2314
동작구,6.4562,6.4825,587,14,20,436,12,382747,1661,7,27,1538
관악구,6.4552,6.38,692,18,17,429,4,487201,1553,9,20,2493
서초구,6.6313,6.9129,1295,25,42,614,12,404902,2372,11,39,2058
강남구,6.6358,6.9207,2700,45,100,540,21,529946,2404,14,36,3877
송파구,6.6759,6.9225,1214,39,38,404,28,659788,2294,11,51,2702
강동구,6.3735,6.4254,845,22,20,363,14,460413,2145,9,32,1929
