"","구","삶만족도","지역만족도","병원수","상권수","문화시설수","학교수","class1","버스정거장수","지하철역수","인구수","아파트수","파출소수","체육시설수","범죄건수"
"1","강남구",6.6358,6.9207,2700,45,100,22,8.24,540,21,529946,2404,14,36,3877
"2","강동구",6.3735,6.4254,845,22,20,14,14.75,363,14,460413,2145,9,32,1929
"3","강북구",7.0738,7.0725,455,21,22,7,16.33,415,3,294429,999,9,13,1701
"4","강서구",6.2711,6.2859,882,22,15,23,19.87,604,9,570011,3008,10,33,2504
"5","관악구",6.4552,6.38,692,18,17,17,19.39,429,4,487201,1553,9,20,2493
"6","광진구",6.3799,6.4772,556,25,23,9,17.9,288,11,337900,808,10,34,1635
"7","구로구",6.4994,6.5,562,26,28,14,18.02,473,7,394212,2757,8,31,2094
"8","금천구",6.2938,6.1954,348,20,21,6,26.32,339,1,230156,1037,5,25,1411
"9","노원구",6.4486,6.5525,736,19,23,25,16.91,522,13,505058,4313,8,28,1977
"10","도봉구",6.2162,6.3037,361,15,20,10,22.97,382,3,312427,2064,8,18,1050
"11","동대문구",6.5255,6.4242,583,26,28,11,16.54,316,6,337273,1838,11,23,1669
"12","동작구",6.4562,6.4825,587,14,20,7,15.08,436,12,382747,1661,7,27,1538
"13","마포구",6.6349,6.7415,744,27,47,9,14.54,548,16,364698,1696,8,34,1845
"14","서대문구",6.64,6.7025,424,17,19,7,15.85,396,5,305113,1540,8,20,1211
"15","서초구",6.6313,6.9129,1295,25,42,11,8.8,614,12,404902,2372,11,39,2058
"16","성동구",6.7216,6.7262,465,18,17,9,15.26,410,14,281694,1614,9,38,1224
"17","성북구",6.3384,6.3445,522,31,30,13,16.56,568,9,431581,2533,10,22,1714
"18","송파구",6.6759,6.9225,1214,39,38,19,14.79,404,28,659788,2294,11,51,2702
"19","양천구",6.2545,6.2119,637,20,22,15,22.31,356,5,441749,1989,8,36,1732
"20","영등포구",6.3735,6.4896,757,28,21,9,11.03,472,11,375849,2019,10,31,2314
"21","용산구",6.2892,6.4585,318,23,79,10,13.5,353,10,219102,969,7,24,1359
"22","은평구",6.3765,6.4185,681,18,24,18,18.18,403,13,468988,1859,9,19,1967
"23","종로구",6.6126,6.7244,458,16,284,14,13.21,353,15,141861,503,20,26,1582
"24","중구",6.7132,6.6386,551,56,79,11,32.07,207,23,120648,669,15,21,1642
"25","중랑구",6.4817,6.412,537,13,9,10,18.84,378,8,385976,1713,8,22,1830
