구,삶의만족도,지역만족도,병원 수,상권 수,문화시설 수,학교 수
종로구,6.6126,6.7244,458,16,284,14
중구,6.7132,6.6386,551,56,79,11
용산구,6.2892,6.4585,318,23,79,10
성동구,6.7216,6.7262,465,18,17,9
광진구,6.3799,6.4772,556,25,23,9
동대문구,6.5255,6.4242,583,26,28,11
중랑구,6.4817,6.412,537,13,9,10
성북구,6.3384,6.3445,522,31,30,13
강북구,7.0738,7.0725,455,21,22,7
도봉구,6.2162,6.3037,361,15,20,10
노원구,6.4486,6.5525,736,19,23,25
은평구,6.3765,6.4185,681,18,24,18
서대문구,6.64,6.7025,424,17,19,7
마포구,6.6349,6.7415,744,27,47,9
양천구,6.2545,6.2119,637,20,22,15
강서구,6.2711,6.2859,882,22,15,23
구로구,6.4994,6.5,562,26,28,14
금천구,6.2938,6.1954,348,20,21,6
영등포구,6.3735,6.4896,757,28,21,9
동작구,6.4562,6.4825,587,14,20,7
관악구,6.4552,6.38,692,18,17,17
서초구,6.6313,6.9129,1295,25,42,11
강남구,6.6358,6.9207,2700,45,100,22
송파구,6.6759,6.9225,1214,39,38,19
강동구,6.3735,6.4254,845,22,20,14
