,정거장,지역(도),지역(구)
0,마장축산물시장,서울특별시,성동구
1,성수동SK아파트형공장앞,서울특별시,성동구
2,힐스테이트서울숲리버,서울특별시,성동구
3,금남시장앞.백범학원터,서울특별시,성동구
4,옥수파크힐스아파트앞,서울특별시,성동구
5,금호사거리,서울특별시,성동구
6,뚝도아리수정수센터수도박물관,서울특별시,성동구
7,우리은행.백범학원터,서울특별시,성동구
8,뚝도시장구길,서울특별시,성동구
9,한양여대앞,서울특별시,성동구
10,리버그린동아아파트,서울특별시,성동구
11,성수119안전센터,서울특별시,성동구
12,경수중학교입구,서울특별시,성동구
13,논골.e편한세상금호114동,서울특별시,성동구
14,한양대정문앞,서울특별시,성동구
15,뚝섬역4번출구,서울특별시,성동구
16,대경중입구,서울특별시,성동구
17,왕십리역,서울특별시,성동구
18,무학중학교.무학여고,서울특별시,성동구
19,왕약국,서울특별시,성동구
20,사근고개,서울특별시,성동구
21,금호사거리,서울특별시,성동구
22,성동제일새마을금고,서울특별시,성동구
23,경일초등학교입구,서울특별시,성동구
24,옥정중학교,서울특별시,성동구
25,금호역,서울특별시,성동구
26,상원,서울특별시,성동구
27,송정동자치회관입구,서울특별시,성동구
28,풍림아파트,서울특별시,성동구
29,성원중성수동이마트앞,서울특별시,성동구
30,성동세무서앞,서울특별시,성동구
31,성수119안전센터,서울특별시,성동구
32,두산아파트정문.금호역,서울특별시,성동구
33,옥수삼성아파트,서울특별시,성동구
34,신금호역,서울특별시,성동구
35,천은교회,서울특별시,성동구
36,미타사입구,서울특별시,성동구
37,두산아파트정문.금호역,서울특별시,성동구
38,금옥초등학교앞,서울특별시,성동구
39,성수2가3동주민센터,서울특별시,성동구
40,신답역,서울특별시,성동구
41,현대공업사앞,서울특별시,성동구
42,도선고등학교.꽃재교회,서울특별시,성동구
43,신동아아파트,서울특별시,성동구
44,응봉동현대아파트,서울특별시,성동구
45,응봉동주민센터,서울특별시,성동구
46,GS주유소,서울특별시,성동구
47,경일초등학교입구,서울특별시,성동구
48,마장동금호아파트,서울특별시,성동구
49,무학여고,서울특별시,성동구
50,응봉초등학교.대림아파트,서울특별시,성동구
51,왕십리자이.신당현대아파트,서울특별시,성동구
52,사근동벽산아파트,서울특별시,성동구
53,한진아파트후문,서울특별시,성동구
54,대림아파트,서울특별시,성동구
55,왕약국,서울특별시,성동구
56,행당2동주민센터,서울특별시,성동구
57,e편한세상금호117동,서울특별시,성동구
58,응봉사거리,서울특별시,성동구
59,금호어린이집,서울특별시,성동구
60,이마트.서울숲힐스테이트아파트,서울특별시,성동구
61,성동제일새마을금고,서울특별시,성동구
62,성수2가3동주민센터.성수지구대,서울특별시,성동구
63,옥수종합사회복지관,서울특별시,성동구
64,신동아아파트후문,서울특별시,성동구
65,왕십리역,서울특별시,성동구
66,응봉사거리,서울특별시,성동구
67,삼성래미안아파트,서울특별시,성동구
68,무학여고,서울특별시,성동구
69,행당2동주민센터,서울특별시,성동구
70,군자교남단,서울특별시,성동구
71,중앙슈퍼,서울특별시,성동구
72,한양대앞,서울특별시,성동구
73,상왕십리역,서울특별시,성동구
74,무학여고앞,서울특별시,성동구
75,중앙슈퍼,서울특별시,성동구
76,경일초등학교앞,서울특별시,성동구
77,한전입구,서울특별시,성동구
78,뚝도시장,서울특별시,성동구
79,금호사거리,서울특별시,성동구
80,중앙병원,서울특별시,성동구
81,행당푸르지오아파트,서울특별시,성동구
82,한양지구대,서울특별시,성동구
83,벽산아파트정문,서울특별시,성동구
84,한양대부속고등학교,서울특별시,성동구
85,행당중학교,서울특별시,성동구
86,무학여고,서울특별시,성동구
