Gu,avg(bq1_1),avg(bq1_2),gu_name
110,6.6126,6.7244,종로구
140,6.7132,6.6386,중구
170,6.2892,6.4585,용산구
200,6.7216,6.7262,성동구
215,6.3799,6.4772,광진구
230,6.5255,6.4242,동대문구
260,6.4817,6.4120,중랑구
290,6.3384,6.3445,성북구
305,7.0738,7.0725,강북구
320,6.2162,6.3037,도봉구
350,6.4486,6.5525,노원구
380,6.3765,6.4185,은평구
410,6.6400,6.7025,서대문구
440,6.6349,6.7415,마포구
470,6.2545,6.2119,양천구
500,6.2711,6.2859,강서구
530,6.4994,6.5000,구로구
545,6.2938,6.1954,금천구
560,6.3735,6.4896,영등포구
590,6.4562,6.4825,동작구
620,6.4552,6.3800,관악구
650,6.6313,6.9129,서초구
680,6.6358,6.9207,강남구
710,6.6759,6.9225,송파구
740,6.3735,6.4254,강동구
