주제분류,문화시설명,주소,위도,경도
기타,경희대학교,서울특별시 동대문구 경희대로 26,37.59508001,127.0493018
공연장,우란2경,서울특별시 성동구 연무장7길 11,37.5437895,127.0544189
도서관,구립은평뉴타운도서관,서울특별시 은평구 진관2로 111-51,37.6372304,126.9331183
문화예술회관,노원문화예술회관,서울특별시 노원구 중계로 181,37.65023586,127.0802693
미술관,서울시립미술관 SeMA창고,서울특별시 은평구 통일로 684,37.60933472,126.9343404
공연장,동숭무대,서울특별시 종로구 혜화로 35,37.58868966,126.9991712
박물관/기념관,한국미술박물관,서울  종로구,37.5808916,126.9890575
기타,금천예술공장,서울시 금천구 범안로15길 57,37.46891512,126.891913
도서관,송파도서관,서울  송파구 오금동 51 ),37.4999933,127.1348396
박물관/기념관,세종대왕기념관,서울  동대문구 청량리동 1-157 ),37.5908164,127.0435894
문화예술회관,북촌 서울무형문화재 교육전시장,종로구 북촌로 20-13,37.5769527,126.9911313
문화원,독일문화원,서울  용산구 후암동 339-1 ),37.550772,126.9828149
문화원,영국문화원,서울  종로구 신문로1가 226 ),37.5696296,126.9721884
도서관,고척도서관,서울  구로구 고척동  고척로45길 31,37.5053516,126.8532545
기타,양천구민체육센터,서울  양천구 신정동 322-10 ),37.5165626,126.8644841
문화예술회관,강북 문화예술회관,서울  강북구,37.6408544,127.0133421
박물관/기념관,용산도시기억전시관,용산구,37.52686633,126.9668797
기타,광진교 8번가,서울특별시 강동구 천호2동 527-2 광진교 8번가,37.54514626,127.1126879
박물관/기념관,서울생활사박물관,서울특별시 노원구 동일로 174길 27 서울생활사박물관,37.61895101,127.0767836
박물관/기념관,공평도시유적전시관,서울특별시 종로구 우정국로 26,37.57149666,126.983659
미술관,김영옥 미술관,서울특별시 종로구 창의문로10길 11,37.59387811,126.9642539
기타,양천문화재단,서울특별시 양천구 목동동로 81,37.51597606,126.8638545
박물관/기념관,국립한글박물관,서울  용산구 용산동6가 412-6,37.52124302,126.9808598
도서관,반포도서관,서울특별시 서초구 고무래로 34,37.50248861,127.0125127
공연장,강동아트센터,서울  강동구 상일동 (동남로) 870,37.551449,127.157598
공연장,세종문화회관,서울 종로구 세종대로 175,37.5726241,126.9760053
도서관,영등포평생학습관,서울  영등포구 당산동 121-22 ),37.526074,126.907352
도서관,도봉도서관,서울  도봉구 쌍문동 422-163 ),37.652815,127.012963
기타,강북구청,서울  강북구 수유동 192-59 ),37.639748,127.025482
기타,구로구청,서울  구로구 구로동 ),37.495472,126.887536
기타,노들섬 복합문화공간,서울특별시 용산구 양녕로 445,37.51766383,126.9580365
도서관,문래정보문화도서관,서울  영등포구 문래동3가  문래로20길 49,37.5169513,126.8908871
도서관,구로구립꿈나무어린이도서관,서울  구로구 구로동로26길 54 2층,37.4895362,126.88638
