,분류,시설명,위치
0,기타,경희대학교,동대문구
1,공연장,우란2경,성동구
2,도서관,구립은평뉴타운도서관,은평구
3,문화예술회관,노원문화예술회관,노원구
4,미술관,서울시립미술관 SeMA창고,은평구
5,공연장,동숭무대,종로구
6,박물관/기념관,한국미술박물관,종로구
7,기타,금천예술공장,금천구
8,도서관,송파도서관,송파구
9,박물관/기념관,세종대왕기념관,동대문구
10,문화예술회관,북촌 서울무형문화재 교육전시장,종로구
11,문화원,독일문화원,용산구
12,문화원,영국문화원,종로구
13,도서관,고척도서관,구로구
14,기타,양천구민체육센터,양천구
15,문화예술회관,강북 문화예술회관,강북구
16,박물관/기념관,용산도시기억전시관,용산구
17,기타,광진교 8번가,강동구
18,박물관/기념관,서울생활사박물관,노원구
19,박물관/기념관,공평도시유적전시관,종로구
20,미술관,김영옥 미술관,종로구
21,기타,양천문화재단,양천구
22,박물관/기념관,국립한글박물관,용산구
23,도서관,반포도서관,서초구
24,공연장,강동아트센터,강동구
25,공연장,세종문화회관,종로구
26,도서관,영등포평생학습관,영등포구
27,도서관,도봉도서관,도봉구
28,기타,강북구청,강북구
29,기타,구로구청,구로구
30,기타,노들섬 복합문화공간,용산구
31,도서관,문래정보문화도서관,영등포구
32,도서관,구로구립꿈나무어린이도서관,구로구
33,공연장,양천구 해누리타운 아트홀,양천구
34,공연장,방송회관 코바코홀,양천구
35,기타,중구평생학습센터,중구
36,미술관,삼성미술관 리움,용산구
37,공연장,반포심산아트홀,서초구
38,기타,행화탕,마포구
39,미술관,갤러리 인,종로구
40,미술관,한미사진미술관,송파구
41,도서관,고덕평생학습관,강동구
42,기타,동대문구민체육센터,동대문구
43,도서관,관악문화관도서관,관악구
44,문화예술회관,송파구체육문화회관,송파구
45,공연장,정동극장,중구
46,도서관,국립어린이청소년 도서관,강남구
47,공연장,종로구민회관,종로구
48,도서관,증산정보도서관,은평구
49,기타,양천구청,양천구
50,공연장,신월문화체육센터,양천구
51,기타,강서구시설관리공단,강서구
52,문화예술회관,동대문문화회관,동대문구
53,박물관/기념관,한성백제박물관,송파구
54,박물관/기념관,한국분재박물관,서초구
55,공연장,한국문화예술위원회,구로구
56,미술관,가람화랑,종로구
57,미술관,간송미술관,성북구
58,기타,예지원,중구
59,도서관,송중문화정보센터,강북구
60,문화원,롯데월드 아이스링크,송파구
61,문화예술회관,어린이회관,광진구
62,문화원,한국스카이다이빙협회,송파구
63,기타,온조대왕문화체육관,강동구
64,기타,용산문화체육센터,용산구
65,기타,서울연극센터,종로구
66,도서관,성동구립도서관,성동구
67,기타,동대문구민회관,동대문구
68,도서관,종로도서관,종로구
69,문화예술회관,마포아트센터,마포구
70,미술관,국립현대미술관,중구
71,문화원,강북청소년문화정보도서관,강북구
72,미술관,국립현대미술관 서울관,종로구
73,문화원,종로문화원,종로구
74,도서관,어린이도서관,종로구
75,도서관,자양4동도서관,광진구
76,기타,동대문구청,동대문구
77,공연장,LG아트센터,강남구
78,기타,올림픽기념국민생활관,종로구
79,도서관,광진정보도서관,광진구
80,공연장,창무예술원- 드 포스트,마포구
81,공연장,전통연희상설극장 광화문아트홀,종로구
82,공연장,문화정원아트홀,금천구
83,기타,시민청,중구
84,공연장,블루스퀘어(Blue Square),용산구
85,기타,동작구청,동작구
86,기타,강남문화재단,강남구
87,기타,서울풍물시장 전통문화체험관,동대문구
88,도서관,한국사회과학도서관,종로구
89,미술관,서울시립미술관 경희궁분관,종로구
90,문화원,무계원,종로구
91,공연장,우리금융아트홀,송파구
92,도서관,동작도서관,동작구
93,도서관,서대문도서관,서대문구
94,공연장,민속극장풍류,강남구
95,공연장,한국의 집 민속극장,중구
96,기타,강남스포츠문화센터,강남구
97,기타,대진체육관,강남구
98,문화원,영등포문화원,영등포구
99,도서관,동작구 통합도서관,동작구
100,문화예술회관,금나래아트홀도서관,금천구
101,기타,흑석체육센터,동작구
102,문화예술회관,사당문화회관,동작구
103,박물관/기념관,건국대학교 박물관,광진구
104,공연장,서초구민체육센터,서초구
105,기타,송파구청,송파구
106,도서관,송파구립거마도서정보센터,송파구
107,공연장,서초문화예술회관 (구 서초구민회관),서초구
108,박물관/기념관,연세대학교 김대중도서관,마포구
109,도서관,남산도서관,용산구
110,기타,국립국어원 우리말 꿈터,강서구
111,미술관,학고재,종로구
112,기타,남산골한옥마을,중구
113,공연장,코엑스 오디토리움,강남구
114,박물관/기념관,국립고궁박물관,종로구
115,공연장,떡? 부엌살림 박물관,종로구
116,기타,신림(다목적)체육센터,관악구
117,문화원,관악문화원,관악구
118,기타,강남구민체육관,강남구
119,도서관,강동구립해공도서관,강동구
120,기타,은평구평생학습관,은평구
121,박물관/기념관,허준박물관,강서구
122,공연장,서울강서문화원,강서구
123,도서관,아리향기작은도서관,강서구
124,공연장,세실아트홀,강남구
125,도서관,도봉기적의도서관,도봉구
126,문화예술회관,개포디지털혁신파크 열림관,강남구
127,기타,해공체육문화센터,강동구
128,도서관,은평구립도서관,은평구
129,문화원,프랑스문화원,중구
130,미술관,노화랑,종로구
131,기타,마포구시설관리공단(아트센터),마포구
132,기타,구로구민체육센터,구로구
133,문화예술회관,구로아트밸리예술극장,구로구
134,기타,금천구청,금천구
135,기타,금천구시설관리공단,금천구
136,문화원,금천문화원,금천구
137,기타,관악구민종합체육센터,관악구
138,기타,강남구청,강남구
139,문화원,목동아이스링크,양천구
140,도서관,개포도서관,강남구
141,박물관/기념관,은평역사한옥박물관,은평구
142,기타,금빛휘트니스센터,금천구
143,미술관,로댕갤러리,중구
144,미술관,문예진흥원 아르코미술관,종로구
145,문화원,잠실종합운동장,송파구
146,미술관,소호 아트 갤러리,종로구
147,문화원,도봉문화원,도봉구
148,기타,서울타워,용산구
149,박물관/기념관,윤동주문학관,종로구
150,기타,서서울예술교육센터,양천구
151,기타,우이신설 문화예술철도 화계역,강북구
152,공연장,CGV 명동,중구
153,공연장,남산예술센터드라마센터(구 동랑예술센터),중구
154,공연장,KBS홀,영등포구
155,기타,강동구청,강동구
156,도서관,강동구립성내도서관,강동구
157,도서관,아리랑정보도서관,성북구
158,도서관,노원정보도서관,노원구
159,공연장,서울애니시네마,중구
160,도서관,LG상남도서관,종로구
161,도서관,강서도서관,강서구
162,박물관/기념관,한상수자수박물관,종로구
163,기타,녹사평 용산공원 플랫폼,용산구
164,기타,우이신설 문화예술철도 정릉역,성북구
165,기타,우이신설 문화예술철도 솔샘역,강북구
166,기타,서울식물원,강서구
167,기타,내곡느티나무쉼터,서초구
168,기타,서초여성가족플라자,서초구
169,문화예술회관,강동구민회관,강동구
170,공연장,도봉구민회관,도봉구
171,도서관,월계문화정보도서관,노원구
172,문화예술회관,성북여성회관,성북구
173,기타,재미랑,중구
174,미술관,코엑스전시장,강남구
175,미술관,한국공예문화진흥원,종로구
176,도서관,용산도서관,용산구
177,미술관,세컨드에비뉴 갤러리,중구
178,박물관/기념관,목인박물관,종로구
179,기타,이문체육문화센터,동대문구
180,도서관,대림정보문화도서관,영등포구
181,문화예술회관,광화문아트홀,종로구
182,미술관,애니살롱(재미랑5호),중구
183,미술관,유리지공예관,서초구
184,공연장,상명아트센터,종로구
185,기타,신도림예술공간 고리,구로구
186,기타,뚝섬전망문화콤플렉스,광진구
187,기타,동대문구체육관,동대문구
188,공연장,중랑문화체육관,중랑구
189,기타,개운산스포츠센터,성북구
190,기타,운현궁,종로구
191,문화원,창동스포츠문화컴플렉스,도봉구
192,문화원,양천문화원,양천구
193,도서관,강북솔샘문화정보센터,강북구
194,공연장,강서구 문화관광,강서구
195,미술관,스튜디오 콘크리트,용산구
196,도서관,구립반포도서관,서초구
197,기타,서울남부여성발전센터,금천구
198,기타,중구청소년수련관,중구
199,기타,중구여성플라자,중구
200,공연장,강북문화예술회관,강북구
201,문화예술회관,관악문화관,관악구
202,문화예술회관,용산아트홀,용산구
203,공연장,서울숲공원 야외공연장,성동구
204,문화예술회관,영등포아트홀,영등포구
205,문화예술회관,강남구민회관,강남구
206,도서관,수유문화정보센터,강북구
207,도서관,국회도서관,영등포구
208,미술관,겸재정선미술관,강서구
209,기타,영등포구청,영등포구
210,기타,중랑구민체육센터,중랑구
211,도서관,성북정보도서관,성북구
212,기타,강북웰빙스포츠센터,강북구
213,미술관,갤러리 라메르,종로구
214,미술관,갤러리 상,종로구
215,박물관/기념관,돈의문박물관마을,종로구
216,기타,금천마을활력소 어울샘,금천구
217,도서관,서초구립반포도서관,서초구
218,미술관,셀린박 갤러리,강남구
219,기타,우이신설 문화예술철도 솔밭공원역,강북구
220,도서관,배봉산 숲속 도서관,동대문구
221,미술관,진산갤러리,마포구
222,기타,문화공간 이육사,성북구
223,미술관,갤러리 가이아,종로구
224,문화예술회관,서대문문화회관,서대문구
225,박물관/기념관,종이나라박물관,중구
226,공연장,연강홀,종로구
227,도서관,금천구립정보도서관,금천구
228,공연장,명동난타극장,중구
229,박물관/기념관,한국천주교순교자박물관,마포구
230,박물관/기념관,김치박물관,강남구
231,공연장,한전아트센터,서초구
232,기타,우이신설 문화예술철도 가오리역,강북구
233,도서관,서초구립양재도서관,서초구
234,미술관,kp 갤러리 (korea photographers gallery),용산구
235,박물관/기념관,용산공원 갤러리,용산구
236,문화예술회관,아트온더무브,영등포구
237,기타,세빛섬,서초구
238,기타,문학의집서울,중구
239,박물관/기념관,황학정 국궁전시관,종로구
240,도서관,강동구립암사도서관,강동구
241,도서관,도봉어린이문화정보센터,도봉구
242,공연장,광진구민체육센터,광진구
243,도서관,도봉문화정보센터,도봉구
244,박물관/기념관,서대문자연사박물관,서대문구
245,박물관/기념관,경기여고 경운박물관,강남구
246,기타,우이신설문화예술철도 보문역,성북구
247,기타,중랑구체육회,중랑구
248,기타,SETEC전시장(서울무역전시장),강남구
249,공연장,세종대학교 대양홀,광진구
250,미술관,국제갤러리,종로구
251,미술관,김영섭사진화랑,종로구
252,기타,평화문화진지,도봉구
253,기타,은평구청소년문화의집 신나는애프터센터,은평구
254,미술관,디뮤지엄,용산구
255,공연장,허리우드 스카이쇼 (낙원상가),종로구
256,공연장,프로젝트박스 시야,용산구
257,공연장,용산 동자아트홀,용산구
258,미술관,아웃사이트(out_sight),종로구
259,문화원,이마트은평점,은평구
260,공연장,롯데콘서트홀,송파구
261,공연장,용산꿈나무종합타운,용산구
262,공연장,연세대학교,서대문구
263,기타,서교예술실험센터,마포구
264,기타,서울시립청소년미디어센터,용산구
265,미술관,가나아트스페이스,종로구
266,미술관,갤러리 도올,종로구
267,미술관,아트선재센터,종로구
268,박물관/기념관,조세박물관,종로구
269,기타,창신소통공작소,종로구
270,기타,북촌문화센터,종로구
271,공연장,문화일보홀,중구
272,기타,강서지역정보센터,강서구
273,기타,노원구청,노원구
274,도서관,노원어린이도서관,노원구
275,기타,동대문구청 아트갤러리,동대문구
276,문화예술회관,리틀엔젤스예술회관,광진구
277,도서관,강서구립도서관,강서구
278,공연장,손기정문화체육센터,중구
279,기타,성북문화재단,성북구
280,공연장,국립극단 소극장 판,용산구
281,기타,용산구 갈월종합사회복지관,용산구
282,공연장,광림아트센터 장천홀,강남구
283,도서관,서초구립내곡도서관,서초구
284,도서관,내를 건너서 숲으로 도서관,은평구
285,박물관/기념관,한양도성박물관,종로구
286,미술관,아트아치,마포구
287,기타,중랑구민회관,중랑구
288,박물관/기념관,체신기념관,종로구
289,박물관/기념관,평강성서유물박물관,구로구
290,미술관,포스코미술관,강남구
291,공연장,프리머스 신림,관악구
292,기타,떼아뜨르 秋,마포구
293,공연장,팝콘D스퀘어,용산구
294,미술관,필갤러리(Fill Gallery),용산구
295,공연장,서울남산국악당,중구
296,공연장,동자아트홀,용산구
297,도서관,구로구립개봉도서관,구로구
298,공연장,용산 일신홀,용산구
299,공연장,용산 더줌아트센터,용산구
300,공연장,구로 꿈나무극장,구로구
301,도서관,서울도서관,중구
302,기타,과거와 현재 도시와 도시를 이어주는 복합문화공간 &quot;용산공예관&quot;,용산구
303,기타,서울특별시여성능력개발원,마포구
304,기타,밝은미소센터,강남구
305,공연장,명동예술극장,중구
306,도서관,금천구립가산도서관,금천구
307,미술관,가나아트센터,종로구
308,공연장,유니버설아트센터,광진구
309,공연장,KT&G 상상아트홀,강남구
310,공연장,충정로난타극장,서대문구
311,공연장,KT체임버홀,양천구
312,기타,상촌재,종로구
313,도서관,구로구립 글마루한옥어린이도서관,구로구
314,기타,우리은행 본점,중구
315,기타,서울책보고,송파구
316,기타,유담헌,종로구
317,도서관,용산 백합어린이도서관,용산구
318,도서관,용산구 효창사랑 작은도서관,용산구
319,도서관,금천구립독산도서관,금천구
320,도서관,강남구립대치도서관,강남구
321,공연장,예빛섬,서초구
322,미술관,킵인터치 서울,종로구
323,기타,서울생각마루,광진구
324,도서관,서울휴먼라이브러리,동대문구
325,미술관,동덕아트갤러리,종로구
326,미술관,동호갤러리,종로구
327,미술관,롯데월드 화랑,송파구
328,문화원,국기원,강남구
329,미술관,토포하우스,종로구
330,미술관,쌈지스페이스,마포구
331,공연장,아이들극장,종로구
332,문화예술회관,아트하우스 모모,서대문구
333,공연장,폼텍웍스홀,마포구
334,박물관/기념관,서울함공원,마포구
335,도서관,청운문학도서관,종로구
336,도서관,강남구립역삼도서관,강남구
337,미술관,코리아나미술관,강남구
338,공연장,여의도 물빛무대,영등포구
339,박물관/기념관,서울하수도과학관,성동구
340,기타,사각사각 플레이스,송파구
341,도서관,강동구립천호도서관,강동구
342,기타,용산구 남영동 자치회관,용산구
343,기타,용산구 원효로1동 자치회관,용산구
344,기타,용산구 원효로2동 자치회관,용산구
345,기타,용산구 효창동 자치회관,용산구
346,도서관,강남구립못골한옥어린이도서관,강남구
347,공연장,홍익대 대학로 아트센터,종로구
348,미술관,공갤러리,종로구
349,박물관/기념관,농업박물관,중구
350,문화원,장충체육관,중구
351,박물관/기념관,동국대학교 박물관,중구
352,박물관/기념관,몽촌역사관,송파구
353,미술관,갤러리 선앤문,종로구
354,미술관,갤러리 JJ,강남구
355,도서관,삼봉서랑(도서관),종로구
356,도서관,동대문구 답십리도서관,동대문구
357,문화원,노원문화원,노원구
358,기타,이건하우스,마포구
359,기타,중랑평생학습관,중랑구
360,기타,간송미술문화재단,중구
361,도서관,구로구립개봉어린이도서관,구로구
362,도서관,동대문구 정보화도서관,동대문구
363,미술관,OCI미술관,종로구
364,박물관/기념관,쉼박물관,종로구
