ConditionCode,Condition,Address,StoreName,Classify,Lat,Long
1,영업/정상,서울특별시 중구 장충단로13길 34 (을지로6가),동화상가,그 밖의 대규모점포,200543.754911579,451888.040346722
3,폐업,서울특별시 양천구 목동동로 190(신정동 길훈로즈빌),홈플러스 익스프레스 신정4점,구분없음,188554.940218695,446701.745114511
1,영업/정상,서울특별시 강동구 성안로 176 (길동),롯데쇼핑㈜롯데슈퍼길동점,구분없음,211983.181564983,448483.889140704
1,영업/정상,서울특별시 노원구 한글비석로 396 (상계동),상계역전종합상가,쇼핑센터,206280.789903642,462002.498987713
1,영업/정상,서울특별시 구로구 구로중앙로 152 (구로동),이랜드리테일 NC구로점,백화점,189570.360930049,444336.051330144
1,영업/정상,,롯데백화점 영등포점,백화점,191741.345847708,445970.307641467
1,영업/정상,서울특별시 강북구 삼양로 247 (미아동),롯데쇼핑(주) 롯데마트 삼양점,복합쇼핑몰,201494.627293774,458136.342274236
1,영업/정상,서울특별시 용산구 청파로 109 나진상가 14동 (한강로3가),나진전자월드상가,전문점,196697.031086973,447931.108267379
1,영업/정상,서울특별시 용산구 청파로 109 나진상가 (한강로3가),나진산업 주식회사,전문점,196697.031086973,447931.108267379
1,영업/정상,서울특별시 종로구 통일로 246-10 무악현대아파트 지하 1층 (무악동),GS THE FRESH 무악현대점,대형마트,196467.975088253,452566.134030104
1,영업/정상,서울특별시 성동구 성수이로 32-15 (성수동2가),뚝도시장,시장,204775.366000022,448395.587760252
1,영업/정상,,청량리역 한양수자인 그라시엘 판매시설,그 밖의 대규모점포,203728.132135578,452778.89330743
1,영업/정상,서울특별시 동대문구 고산자로36길 3 경동시장 (제기동),경동시장,시장,203403.019535366,452985.725419514
1,영업/정상,서울특별시 동작구 노들로2길 7 노량진 드림스퀘어 복합빌딩 (노량진동),노량진 드림스퀘어,그 밖의 대규모점포,194571.152376388,445790.549860682
1,영업/정상,서울특별시 용산구 이촌로 200 LG프라자 지하1층 (이촌동),GS THE FRESH 용산이촌점,구분없음,197221.439324261,446524.508385914
1,영업/정상,서울특별시 서대문구 수색로2길 39(남가좌동 DMC금호리첸시아),이마트에브리데이 남가좌점,구분없음,192482.416512858,452143.491541077
1,영업/정상,서울특별시 광진구 자양로 168 102호 (구의동 광진 더프레236),GS THE FRESH 광진구의점,구분없음,207400.608063491,448930.683211743
1,영업/정상,서울특별시 강남구 압구정로 312 신사동동 1층 (신사동),GS THE FRESH 압구정점,구분없음,203069.441212025,447391.130408384
1,영업/정상,서울특별시 서대문구 거북골로 34 명지대학교 (남가좌동),이마트에브리데이 명지대점,구분없음,193139.52394401,453106.002592232
1,영업/정상,서울특별시 서초구 신반포로 176 (반포동),신세계백화점 강남점,백화점,200250.447804795,444683.220506107
1,영업/정상,서울특별시 노원구 공릉로 144 (공릉동 공릉빌딩),롯데쇼핑(주) 롯데슈퍼공릉점,구분없음,206952.444113646,457814.529614419
1,영업/정상,서울특별시 노원구 동일로204가길 46 (중계동),이천일아울렛 중계점,그 밖의 대규모점포,205931.05327036,459884.197207567
