구,200미만,200이상500미만,500이상,합계,200미만비,200이상500미만비,500이상비
종로구,100,511,146,757,0.132100396,0.675033025,0.192866579
중구,186,345,49,580,0.320689655,0.594827586,0.084482759
용산구,111,561,150,822,0.135036496,0.682481752,0.182481752
성동구,146,628,183,957,0.152560084,0.656217346,0.191222571
광진구,193,756,129,1078,0.17903525,0.701298701,0.119666048
동대문구,170,687,171,1028,0.16536965,0.668287938,0.166342412
중랑구,217,778,157,1152,0.188368056,0.675347222,0.136284722
성북구,206,881,157,1244,0.165594855,0.708199357,0.126205788
강북구,176,796,106,1078,0.163265306,0.738404453,0.098330241
도봉구,195,554,100,849,0.229681979,0.652532391,0.11778563
노원구,221,969,117,1307,0.169089518,0.741392502,0.08951798
은평구,220,887,103,1210,0.181818182,0.733057851,0.085123967
서대문구,159,727,117,1003,0.158524427,0.724825523,0.11665005
마포구,156,752,165,1073,0.145386766,0.70083877,0.153774464
양천구,207,561,160,928,0.223060345,0.604525862,0.172413793
강서구,267,918,159,1344,0.198660714,0.683035714,0.118303571
구로구,206,809,128,1143,0.180227472,0.707786527,0.111986002
금천구,234,591,64,889,0.263217098,0.664791901,0.071991001
영등포구,131,831,226,1188,0.11026936,0.699494949,0.19023569
동작구,157,743,141,1041,0.150816523,0.713736792,0.135446686
관악구,248,948,83,1279,0.193901486,0.741204066,0.064894449
서초구,92,739,214,1045,0.088038278,0.707177033,0.204784689
강남구,92,717,308,1117,0.082363474,0.641897941,0.275738585
송파구,205,941,240,1386,0.147907648,0.678932179,0.173160173
강동구,180,902,138,1220,0.147540984,0.739344262,0.113114754
