주소,병원구분,병원구분2,응급의료기관코드,코드명,응급실운영여부,위도,경도
"서울특별시 동작구 상도로 170, 2층 (상도동)",C,의원,G099,응급의료기관 이외,2,37.50407680682926,126.93803709245813
서울특별시 강남구 봉은사로 612 (삼성동),E,한방병원,G099,응급의료기관 이외,2,37.514279685612216,127.06214779521632
"서울특별시 강남구 테헤란로 513 (삼성동, B1일부,4,9,10층,테헤란로81길10,B1일부,삼성로92길29,3,4)",C,의원,G099,응급의료기관 이외,2,37.508024781100005,127.05888980410002
"서울특별시 강남구 테헤란로 513 (삼성동, 지하1층일부)",N,치과의원,G099,응급의료기관 이외,2,37.508024781100005,127.05888980410002
"서울특별시 강남구 도산대로 442 (청담동, 2층일부)",G,한의원,G099,응급의료기관 이외,2,37.52334106045811,127.04415941273409
"서울특별시 중구 한강대로 416, 2층 (남대문로5가, 서울스퀘어)",C,의원,G099,응급의료기관 이외,2,37.5555048939659,126.97375281464887
"서울특별시 강남구 도산대로 442, 피엔폴루스 2층일부, 3층일부 (청담동)",C,의원,G099,응급의료기관 이외,2,37.523433142708896,127.04370783516794
"서울특별시 강남구 영동대로 211, 3층 (대치동, 영광빌딩)",C,의원,G099,응급의료기관 이외,2,37.49756774914356,127.0688195834955
"서울특별시 강동구 천호대로 1092, 1층 112호,113호 (성내동, SK허브진)",C,의원,G099,응급의료기관 이외,2,37.535247312084564,127.13266219529238
"서울특별시 종로구 종로 335, 원풍빌딩 6층 (창신동)",C,의원,G099,응급의료기관 이외,2,37.57310514002614,127.01482468170391
"서울특별시 강북구 도봉로 213, 하당빌딩 3,4층 (미아동)",C,의원,G099,응급의료기관 이외,2,37.62760249650932,127.02526203615491
"서울특별시 중랑구 면목로 492, 주연빌딩 7,8 일부층 (상봉동)",C,의원,G099,응급의료기관 이외,2,37.59590593063826,127.08596770429703
"서울특별시 서초구 서초대로 320, 하림인터내셔날빌딩 3층 (서초동)",C,의원,G099,응급의료기관 이외,2,37.4942200198785,127.01657607757
"서울특별시 은평구 연서로 246 (불광동,연신내 메디칼센터 8층)",C,의원,G099,응급의료기관 이외,2,37.619049275991145,126.922609619188
"서울특별시 영등포구 경인로 841, 영등포우체국 4,5층 (영등포동4가)",C,의원,G099,응급의료기관 이외,2,37.51888114,126.9087589424
"서울특별시 강서구 양천로 366, 5,6층 (가양동, 미라클빌딩)",C,의원,G099,응급의료기관 이외,2,37.56722796082363,126.84289522096526
"서울특별시 구로구 가마산로27길 14, 신원빌딩 2층 (구로동)",C,의원,G099,응급의료기관 이외,2,37.4977293066,126.8918534248
"서울특별시 은평구 서오릉로 145, 상원빌딩 4층 (구산동)",C,의원,G099,응급의료기관 이외,2,37.61128578526835,126.91647908698266
"서울특별시 성북구 동소문로 125, 5~6층 (동선동4가)",C,의원,G099,응급의료기관 이외,2,37.5941554732914,127.01821675656173
