"","구","삶만족도","지역만족도","병원수","상권수","문화시설수","학교수","class1","class2","class3"
"1","강남구",6.6358,6.9207,2700,45,100,22,8.24,64.19,27.57
"2","강동구",6.3735,6.4254,845,22,20,14,14.75,73.93,11.31
"3","강북구",7.0738,7.0725,455,21,22,7,16.33,73.84,9.83
"4","강서구",6.2711,6.2859,882,22,15,23,19.87,68.3,11.83
"5","관악구",6.4552,6.38,692,18,17,17,19.39,74.12,6.49
"6","광진구",6.3799,6.4772,556,25,23,9,17.9,70.13,11.97
"7","구로구",6.4994,6.5,562,26,28,14,18.02,70.78,11.2
"8","금천구",6.2938,6.1954,348,20,21,6,26.32,66.48,7.2
"9","노원구",6.4486,6.5525,736,19,23,25,16.91,74.14,8.95
"10","도봉구",6.2162,6.3037,361,15,20,10,22.97,65.25,11.78
"11","동대문구",6.5255,6.4242,583,26,28,11,16.54,66.83,16.63
"12","동작구",6.4562,6.4825,587,14,20,7,15.08,71.37,13.54
"13","마포구",6.6349,6.7415,744,27,47,9,14.54,70.08,15.38
"14","서대문구",6.64,6.7025,424,17,19,7,15.85,72.48,11.67
"15","서초구",6.6313,6.9129,1295,25,42,11,8.8,70.72,20.48
"16","성동구",6.7216,6.7262,465,18,17,9,15.26,65.62,19.12
"17","성북구",6.3384,6.3445,522,31,30,13,16.56,70.82,12.62
"18","송파구",6.6759,6.9225,1214,39,38,19,14.79,67.89,17.32
"19","양천구",6.2545,6.2119,637,20,22,15,22.31,60.45,17.24
"20","영등포구",6.3735,6.4896,757,28,21,9,11.03,69.95,19.02
"21","용산구",6.2892,6.4585,318,23,79,10,13.5,68.25,18.25
"22","은평구",6.3765,6.4185,681,18,24,18,18.18,73.31,8.51
"23","종로구",6.6126,6.7244,458,16,284,14,13.21,67.5,19.29
"24","중구",6.7132,6.6386,551,56,79,11,32.07,59.48,8.45
"25","중랑구",6.4817,6.412,537,13,9,10,18.84,67.53,13.63
