시도,시군구,시설명,소유기관,종류
서울,소  계,3개소,,육상경기장
서울,양천구,목동운동장,서울시,육상경기장
서울,송파구,잠실종합운동장,서울시,육상경기장
서울,송파구,잠실보조경기장,서울시,육상경기장
서울,종로구,종로구 한강다목적운동장,"국토해양부
(국유지)",축구장
서울,중 구,손기정체육공원 인조잔디축구장,중구,축구장
서울,용산구,효창운동장,서울시,축구장
서울,용산구,한강공원 이촌지구 축구장1,서울시,축구장
서울,용산구,한강공원 이촌지구 축구장2,서울시,축구장
서울,용산구,한강공원 이촌 축구교육장,서울시,축구장
서울,성동구,살곶이체육공원 축구장,"국토해양부
(국유지)",축구장
서울,성동구,중랑물재생센터 축구장,서울시,축구장
서울,성동구,뚝섬유수지 체육공원 축구장,성동구,축구장
서울,성동구,응봉축구장,성동구,축구장
서울,광진구,어린이대공원 축구장,서울시,축구장
서울,광진구,아차산배수지체육공원 축구장,서울시,축구장
서울,광진구,한강공원 뚝섬지구 축구장,서울시,축구장
서울,중랑구,중랑구립 잔디운동장,중랑구,축구장
서울,중랑구,용마폭포공원  인조잔디 축구장,중랑구,축구장
서울,중랑구,신내차량기지 축구장,서울교통공사,축구장
서울,성북구,월곡구민운동장,성북구,축구장
서울,성북구,월곡인조잔디축구장,성북구,축구장
서울,강북구,강북구민운동장,강북구,축구장
서울,도봉구,초안산 인조잔디축구장,도봉구,축구장
서울,도봉구,다락원체육공원 축구장,서울시,축구장
서울,노원구,마들스포츠타운 축구장,노원구,축구장
서울,노원구,초안산스포츠타운 축구장,노원구,축구장
서울,노원구,노해체육공원 축구장,노원구,축구장
서울,노원구,불암스포츠타운 축구장,노원구,축구장
서울,은평구,은평구립축구장,은평구,축구장
서울,서대문구,서대문구립 인조잔디 구장,서대문구,축구장
서울,서대문구,서대문돌산 인조잔디구장,서대문구,축구장
서울,마포구,한강공원 망원지구 축구장,서울시,축구장
서울,마포구,서울월드컵경기장,서울시,축구장
서울,마포구,서울월드컵경기장 보조경기장,서울시,축구장
서울,마포구,월드컵공원 인조잔디축구장,서울시,축구장
서울,양천구,해누리 축구장 1,양천구,축구장
서울,양천구,해누리 축구장 2,양천구,축구장
서울,양천구,안양천 축구장,양천구,축구장
서울,강서구,서남물재생센터 축구장,서울시,축구장
서울,강서구,한강공원 강서지구 축구장,서울시,축구장
서울,강서구,가양축구장,강서구,축구장
서울,강서구,강서 개화축구장,강서구,축구장
서울,강서구,우장산 인조잔디구장,서울시,축구장
서울,구로구,고척근린공원 운동장,구로구,축구장
서울,구로구,안양천 A구장,구로구,축구장
서울,구로구,안양천 B구장,구로구,축구장
서울,구로구,안양천 C구장,구로구,축구장
서울,구로구,계남근린공원 축구장,구로구,축구장
서울,구로구,"고척 축구장
(고척스카이돔 부대시설)",서울시,축구장
서울,금천구,독산근린공원 잔디축구장,금천구,축구장
서울,금천구,"서울 근로청소년복지관
인조잔디축구장",기획재정부,축구장
서울,금천구,안양천 간이축구장,금천구,축구장
서울,영등포구,한강공원 양화지구 축구장,서울시,축구장
서울,영등포구,영롱이 억새1구장,영등포구,축구장
